Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 75,285,0.36547836661338806,-2.9167368412017822,-5.670000076293945,0.9399357438087463,0,,0.0,1.879310344827586,0.0,0.26804855074638784,0.13234419940140285,3,0.32115429701163706,0.7168597701780192,Connector
Ch 85,285,0.36547836661338806,-2.368175506591797,-5.579999923706055,1.0653849840164185,0,,0.0,1.8103448275862069,0.0,0.2717994595557884,0.12161913279671274,0,0.7047331077965499,0.7138231865031843,Connector
Ch 16,324,0.4154911935329437,-1.4702470302581787,-4.0,0.986407995223999,0,,0.0,1.879310344827586,0.0,0.26576399548689805,0.13659479348569847,1,-1.3613923083590103,0.7340368344750032,Connector
Ch 26,309,0.3962554931640625,-0.2832362949848175,-3.0,1.0576273202896118,1,3.0,0.9708737864077669,1.8103448275862069,0.0,0.26290317324422724,0.1254566707245501,1,-1.5740504616436168,0.7312801102462936,Connector
Ch 36,331,0.42446786165237427,-1.0219638347625732,-3.3299999237060547,0.9747158885002136,0,,0.0,1.879310344827586,0.001058681185722928,0.2560075930828855,0.11260236872557247,0,2.268140751433425,0.7290217820483786,Connector Hub
Ch 46,299,0.38343167304992676,-1.218428134918213,-3.6700000762939453,1.1100324392318726,1,3.0,1.0033444816053512,1.7586206896551724,0.0,0.26676517321815446,0.1278627125729331,3,0.1874433771025535,0.7226743155884788,Connector
Ch 56,603,0.7732752561569214,-0.993631899356842,-1.5,1.0109823942184448,3,3.0,1.4925373134328357,1.9655172413793103,0.05535390199637024,0.26505683553297504,0.14325197901924813,2,0.5636381532693013,0.7232160770975093,Connector
Ch 66,602,0.7719928622245789,-0.3187209367752075,-0.5799999833106995,1.0173197984695435,2,3.0,0.9966777408637874,2.0,0.03266787658802178,0.26827653590834055,0.14104620965285833,2,0.5439025411498847,0.7257307560239488,Connector
Ch 76,303,0.3885612189769745,-1.6795380115509033,-4.829999923706055,1.0515973567962646,1,3.0,0.9900990099009901,1.8620689655172413,0.0,0.27587947700943405,0.134184283901299,1,0.0964457417101726,0.722725300780005,Connector
Ch 86,254,0.3257245719432831,-2.0088977813720703,-4.789999961853027,1.0402215719223022,0,,0.0,1.8103448275862069,0.0,0.2747643507348552,0.125407740616177,2,0.7529351623238616,0.7314380816668353,Connector
Ch 17,373,0.47832781076431274,-0.1989544779062271,-2.5,1.0202792882919312,0,,0.0,1.9310344827586206,0.009679370840895343,0.26552982119505775,0.1400727930628833,0,0.6062761577684329,0.7353391074806662,Connector
Ch 27,311,0.39882025122642517,-1.3702250719070435,-4.079999923706055,1.0095995664596558,0,,0.0,1.7413793103448276,0.0,0.26363454345900456,0.11399210480653017,1,-0.5681294391135693,0.7126412652137186,Connector
Ch 37,324,0.4154911935329437,-1.0402469635009766,-3.5,1.0706932544708252,1,3.0,0.9259259259259258,1.896551724137931,0.0,0.2624716618710514,0.1253578488977543,1,0.6026996424878207,0.7054552531138907,Connector
Ch 47,309,0.3962554931640625,-0.4912945032119751,-3.5,1.0445475578308105,0,,0.0,1.8620689655172413,0.0,0.2799312691190666,0.1369785085810141,1,1.3274074668500895,0.7057225697898324,Connector
Ch 57,548,0.7027443647384644,0.010565698146820068,0.0,0.9490625262260437,4,3.0,2.18978102189781,1.9482758620689655,0.006352087114337568,0.2777427477221852,0.1421248659534701,2,2.018151964502642,0.7173860138172801,Connector Hub
Ch 67,530,0.6796615123748779,0.036603789776563644,-0.25,1.031320571899414,3,3.3333333333333335,1.8867924528301887,2.0,0.011796733212341199,0.26627256103058344,0.1506217012376571,1,0.6091592424162793,0.7107854484416203,Connector
Ch 77,308,0.39497309923171997,-2.46474027633667,-6.170000076293945,0.9934572577476501,1,3.0,0.974025974025974,1.9137931034482758,0.0,0.26436647724455786,0.12549812711561095,1,0.5394221730086656,0.7107994762584755,Connector
Ch 87,297,0.3808669149875641,-2.6629631519317627,-5.75,0.9717370271682739,2,3.0,2.0202020202020203,1.8275862068965516,0.0,0.2621791015208799,0.12815425714143783,2,-0.8578702157762731,0.7216147166951588,Connector
Ch 28,338,0.4334444999694824,-0.9225740432739258,-2.7899999618530273,0.9536787271499634,0,,0.0,1.7758620689655171,0.0009074410163339384,0.2678375929050292,0.12566500833716382,1,-1.0125235593550197,0.7288015481054659,Connector
Ch 38,294,0.3770197927951813,-1.5698299407958984,-4.75,1.0384985208511353,0,,0.0,1.8275862068965516,0.0,0.26762045923375033,0.1254186371658204,3,-0.814698527393123,0.7311653137553886,Connector
Ch 48,304,0.38984358310699463,-0.9368749856948853,-3.8299999237060547,0.9625284671783447,0,,0.0,1.8620689655172413,0.0,0.27642858149139465,0.1469806541374151,1,0.41593671493788187,0.705550007473509,Connector
Ch 58,599,0.768145740032196,-0.012303837575018406,0.33000001311302185,1.0165945291519165,3,3.3333333333333335,1.669449081803005,2.0,0.018148820326678767,0.27598272256170014,0.14932638568517967,1,1.9162272832346445,0.7089977047025205,Connector Hub
Ch 68,515,0.6604258418083191,-0.23178640007972717,-0.07999999821186066,1.0166001319885254,2,3.0,1.1650485436893203,2.0,0.003327283726557774,0.2738492025205506,0.1374658582825956,1,2.16939064574364,0.7121368814636653,Connector Hub
Ch 78,586,0.7514747977256775,0.07790102809667587,-0.07999999821186066,1.0119435787200928,0,,0.0,2.0,0.0220810647307925,0.26749293060118506,0.13751374398304816,2,0.3585169902802924,0.7300405198996045,Connector
