Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 76,1161,0.9674999713897705,-0.0018949024379253387,0.5,5.118993759155273,18,3.2777777777777777,5.0818260120585705,2.0,0.014216575922565035,0.2826322131094112,0.1253983868333516,1,0.8831167646741639,0.7438784930366698,Connector
Ch 86,416,0.3466666638851166,2.1557211875915527,4.875,1.051182508468628,0,,0.0,1.9482758620689655,0.0,0.29274359786768533,0.13553859880908184,1,2.1696314133207504,0.7462982229819688,Connector Hub
Ch 17,483,0.4025000035762787,1.031677007675171,1.0800000429153442,1.1937371492385864,0,,0.0,1.9310344827586206,0.0,0.2741421277253885,0.11751453659517958,1,0.10066360603596888,0.7481000438194756,Connector
Ch 27,481,0.4008333384990692,2.17218279838562,5.579999923706055,1.0270074605941772,1,3.0,0.6237006237006237,1.9827586206896552,0.0,0.27870397432827787,0.12358246272152072,3,-1.0406433169323897,0.7463656620157486,Connector
Ch 37,408,0.3400000035762787,1.2068381309509277,3.4600000381469727,1.1149801015853882,0,,0.0,1.8620689655172413,0.0,0.291978003824301,0.13303928659910425,3,-1.8214014640858274,0.7465561056259054,Connector
Ch 47,511,0.4258333444595337,2.072563648223877,4.170000076293945,1.0482105016708374,0,,0.0,2.0,0.00030248033877797946,0.2775753371251724,0.12298336352479591,3,-0.1292854402480167,0.7399011856408236,Connector
Ch 57,654,0.5450000166893005,0.153577983379364,0.25,1.1116474866867065,0,,0.0,2.0,0.009981851179673321,0.30935969669152036,0.15912428190365804,0,0.3115101994740529,0.7382517865039397,Connector
Ch 67,668,0.5566666722297668,0.15184132754802704,0.41999998688697815,0.9982138872146606,1,3.0,0.4491017964071856,1.9827586206896552,0.01572897761645493,0.3016023796998453,0.13902285218648033,0,1.6540801484569692,0.7297108431955475,Connector Hub
Ch 77,416,0.3466666638851166,1.3615384101867676,3.8299999237060547,1.1056689023971558,0,,0.0,1.9482758620689655,0.0,0.2754226161723323,0.1284190077288814,2,-0.7708110491924146,0.7474341328192703,Connector
Ch 87,392,0.3266666531562805,1.5214030742645264,3.8350000381469727,1.038917064666748,0,,0.0,1.9137931034482758,0.0,0.28818656834970846,0.1321580780575034,3,-0.9753356995596851,0.74677074509366,Connector
Ch 28,456,0.3799999952316284,1.5121054649353027,4.795000076293945,1.0296449661254883,0,,0.0,1.9482758620689655,0.0,0.29129910169969986,0.13473308493251607,3,2.5032852941170973,0.7305960066971254,Connector Hub
Ch 38,450,0.375,1.5985777378082275,4.125,1.0277575254440308,0,,0.0,1.9482758620689655,0.0,0.29011820863643933,0.12509864129776443,2,1.8818193055520616,0.7468210105545352,Connector Hub
Ch 48,523,0.4358333349227905,2.4340152740478516,6.329999923706055,1.4024022817611694,3,3.0,1.7208413001912046,1.9655172413793103,0.0015124016938898974,0.2788812959945305,0.12581249774402575,1,0.3757704801949543,0.7442117182664316,Connector
Ch 58,711,0.5924999713897705,-0.2527988851070404,-0.17000000178813934,1.0133854150772095,2,3.0,0.8438818565400843,1.9827586206896552,0.01663641863278887,0.3084001257294264,0.14630981375268295,0,0.40873504966653385,0.7420074790404783,Connector
Ch 68,670,0.5583333373069763,-0.2415224015712738,-0.125,1.011237382888794,1,3.0,0.44776119402985076,2.0,0.023593466424682397,0.2965434519041213,0.1329181794864994,0,1.4670474968582805,0.7285530990301944,Connector
Ch 78,730,0.6083333492279053,-0.18650683760643005,-0.2900000214576721,0.9973037838935852,4,3.0,1.643835616438356,2.0,0.03690260133091349,0.29328713795106104,0.13682023848811953,2,1.4962131782101944,0.7470352511579414,Connector
